block_id,count,n_strains,duplicated,core,len
5455241874985936089,319,17,True,False,119
5535931176668640460,251,17,True,False,196
5691705235691572151,32,17,True,False,223
5693820070510086521,84,17,True,False,196
5707469991162272811,318,17,True,False,209
5913181414523764299,18,17,True,False,833
6016348277990232342,366,17,True,False,187
6165452673612269958,200,17,True,False,186
6174855558498862904,383,17,True,False,124
6593134992687120163,29,17,True,False,422
6867982468553929880,18,17,True,False,275
6983590487651063541,860,17,True,False,173
7308331514654460747,328,17,True,False,151
7423303887118919340,114,17,True,False,145
7537366352779386341,19,17,True,False,404
7727088827121976156,353,17,True,False,182
7761613535338084296,29,17,True,False,156
7800308431747075437,223,17,True,False,221
7881965238061599642,18,17,True,False,744
7884250820183045817,31,17,True,False,249
7989789043392474706,20,17,True,False,305
8048826759314290101,33,17,True,False,676
8090741670121517097,368,17,True,False,173
8092666103583212041,211,17,True,False,117
8145445376791745969,18,17,True,False,148
8392872385051085234,89,17,True,False,120
8418173331486402597,136,17,True,False,139
8467805448069356110,70,17,True,False,122
8510955446726314481,94,17,True,False,200
8736199438273172262,309,17,True,False,145
8923710462896334647,215,17,True,False,121
8958890325367124691,322,17,True,False,137
9091484489557278198,269,17,True,False,110
9120013793100386548,114,17,True,False,172
9120954895609288526,60,17,True,False,137
9226395193803253667,259,17,True,False,209
9447815895219421941,176,17,True,False,219
9579132731327493064,60,17,True,False,148
9739595460950662987,60,17,True,False,193
9794485214078802083,115,17,True,False,114
9815097212491106734,18,17,True,False,1026
9835877009335464215,271,17,True,False,307
9900582719672626222,19,17,True,False,132
9939063215908892608,144,17,True,False,214
9963093445585328186,120,17,True,False,169
10176379053328471240,329,17,True,False,247
10225890332805042649,116,17,True,False,181
10318176618924448601,18,17,True,False,558
10568072689470248067,91,17,True,False,209
10604492798002707688,355,17,True,False,136
10699511706402891448,340,17,True,False,162
10753394654567892036,231,17,True,False,112
10899794821444889202,311,17,True,False,250
10918042465310478223,149,17,True,False,153
